840,0,1,0,1,889,889,0.42857
480,0,1,1,1,491,491,0.57143
480,-8,0,1,1,474,482,0.57143
240,-54,0,0,1,211,265,0.42857
480,107,0,0,4,543,436,0
240,-13,0,1,1,245,258,0.57143
480,-4,0,1,1,483,487,0.57143
0,-5,0,0,1,13,18,0.42857
840,0,1,0,1,818,818,0.42857
480,7,0,1,1,496,489,0.57143
0,0,1,1,1,26,26,0.57143
0,0,1,1,1,7,7,0.57143
240,0,1,1,1,236,236,0.57143
0,34,0,0,1,6,-28,0.42857
480,3,0,1,1,483,480,0.57143
480,0,1,1,1,453,453,0.57143
240,0,1,1,1,258,258,0.57143
240,-2,0,1,1,231,233,0.57143
840,58,0,0,1,849,791,0.42857
0,0,1,0,1,-20,-20,0.42857
840,14,0,1,1,851,837,0.57143
240,13,0,0,1,225,212,0.42857
240,0,1,1,1,238,238,0.57143
0,0,1,1,1,-15,-15,0.57143
840,33,0,0,1,863,830,0.42857
240,0,1,1,1,271,271,0.57143
840,9,0,1,1,825,816,0.57143
840,0,1,1,1,850,850,0.57143
0,0,1,1,1,-18,-18,0.57143
0,-18,0,1,1,9,27,0.57143
480,0,1,1,1,460,460,0.57143
480,0,1,1,1,461,461,0.57143
480,0,1,1,2,481,481,0.71429
0,52,0,0,4,-1,-53,0
0,0,1,1,1,-32,-32,0.57143
840,14,0,1,1,855,841,0.57143
240,-16,0,1,1,237,253,0.57143
840,42,0,1,1,866,824,0.57143
840,15,0,1,2,859,844,0.71429
840,-62,0,1,2,841,903,0.71429
480,0,1,1,1,467,467,0.57143
480,0,1,1,1,475,475,0.57143
840,16,0,1,1,835,819,0.57143
840,0,1,1,1,828,828,0.57143
480,-13,0,1,1,460,473,0.57143
480,0,1,1,1,484,484,0.57143
240,8,0,1,1,261,253,0.57143
480,4,0,1,1,481,477,0.57143
480,0,1,1,1,488,488,0.57143
